bounty_id,level,rank,firstName,lastName,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
drg_bounty_ricardo,30,spaceAdmiral,Ricardo,the Swole,The Boys,Flexmaster,MALE,tritachyon,graphics/portraits/ricardo_hvb.png,"""You fool. You absolute buffoon. You think you can challenge me in my own realm? You think you can surpass my perfect physique? You dare to come into my system, and flex against me through your comm screen? You thought you were safe, hiding in that shiny flagship of yours. I will take these glorious muscles and crush you with them. I didn't want war. But I didn't start it.""",FALSE,hegemony,750000,10,"The Hegemony has put out a bounty on what appears to be a Tritachyon-sponsored commander and his fleet. According to the listing, he has been raiding Hegemony commerce for the last several months, claiming to be ""repossessing vital war material by order of the 69th Battlegroup."" It's unclear why a commerce raider has multiple capital warships, however.",drg_inequality_covops,"drg_paragon_iv, drg_paragon_iv, drg_inequality_iv, drg_inequality_iv, drg_odyssey_iv, drg_odyssey_iv, drg_tigershark_iv, drg_tigershark_iv, drg_tigershark_iv, drg_peregrine_iv, drg_peregrine_iv, drg_peregrine_iv, drg_shrike_covops, drg_shrike_covops, drg_medusa_covops, drg_medusa_covops, drg_iris_iv, drg_iris_iv, drg_iris_iv, drg_scarab_iv, drg_scarab_iv, drg_scarab_iv",400,1.3,1,,FALSE,FALSE,211,30,300
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : ugh,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,
