name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Persephone,drg_persephone,Destroyer,High Tech,displacer,10,2500,250,6000,,400,86,,100,90,90,60,90,250,OMNI,,180,0.4,0.6,,,25,40,40,40,2,20,9,15000,5,20,300,0.15,11,11,COMBAT,hightech_bp,,0.4,2,2,1337
Incursion,drg_incursion,Battleship,High Tech,microburn,30,17000,1500,22000,,1250,340,,35,12,12,6,6,3000,FRONT,,180,0.25,0.8,,,400,1000,300,300,10,30,7,550000,4,20,720,0.25,55,55,COMBAT,rare_bp,,0.6,2,4,1338
Iris,drg_iris,Destroyer,High Tech,fortressshield,10,2500,350,5500,,300,75,,55,40,40,30,60,250,FRONT,,360,0.4,0.6,,,25,35,30,40,2,20,9,17500,5,15,300,0.15,12,12,COMBAT,hightech_bp,,0.4,2,2,1339
Gila,drg_gila,Cruiser,High Tech,fortressshield,15,8000,800,12500,,900,152,,45,40,25,12,12,1800,FRONT,,120,0.4,0.8,,,75,200,200,90,3,30,8,170000,4,16,480,0.25,30,30,COMBAT,hightech_bp,,0.6,2,3,1340
Bombardier,drg_bombardier,Cruiser,High Tech,forgevats,14,8000,700,10000,,750,138,,55,30,20,20,20,1800,OMNI,,130,0.4,0.8,,,125,275,150,90,3,30,8,150000,5,20,420,0.25,22,22,COMBAT,hightech_bp,,0.6,2,3,1341
Aggressor,drg_invader,Battlecruiser,Low Tech,ammofeed,22,13000,1500,15000,,600,225,,50,50,25,15,10,2500,FRONT,,180,0.4,1,,,500,1000,200,300,10,30,8,300000,3,12,720,0.25,36,36,COMBAT,rare_bp,,0.4,2,4,1343
Aphelion,drg_aphelion,Cruiser,High Tech,flarelauncher_active,12,7000,600,10000,,500,130,1,75,55,55,15,15,1800,FRONT,,360,0.4,0.7,,,75,200,400,200,2,100,8,120000,4,20,420,0.25,15,15,COMBAT,hightech_bp,,0.4,2,2,1344
Moray,drg_moray,Destroyer,High Tech,fastmissileracks,9,2500,250,6000,,400,79,,100,70,50,60,90,350,OMNI,,150,0.3,0.6,,,25,40,40,40,2,20,9,15000,4,16,300,0.25,10,10,COMBAT,hightech_bp,,0.4,2,4,1345
Tigershark,drg_tigershark,Cruiser,High Tech,plasmajets,17,7000,800,11000,,800,160,,75,55,55,30,30,1500,OMNI,,150,0.5,0.8,,,75,175,150,90,3,30,8,180000,4,20,420,0.25,30,30,COMBAT,rare_bp,,0.4,2,2,1346
Kingfisher,drg_kingfisher,Heavy Cruiser,High Tech,drg_rangeoverclock,15,9000,1000,14000,,900,170,,50,20,20,16,16,2000,OMNI,,180,0.4,0.6,,,100,250,200,100,4,25,8,200000,4,16,480,0.25,30,30,COMBAT,hightech_bp,,0.4,2,4,1347
Spire,drg_spire,Battlecarrier,High Tech,reservewing,29,11000,1000,25000,,1050,300,4,40,12,12,5,5,2500,OMNI,,180,0.4,0.8,,,400,800,250,200,8,25,8,400000,4,20,720,0.25,50,50,COMBAT,rare_bp,,0.4,2,2,1349
Peregrine,drg_peregrine,Cruiser,High Tech,drg_fluxcompressor,13,5500,600,11000,,600,103,,80,65,65,33,30,1200,OMNI,,160,0.4,0.8,,,60,125,100,60,2,30,9,120000,4,20,420,0.25,22,22,COMBAT,hightech_bp,,0.4,2,2,1350
Inequality,drg_inequality,Battlecruiser,High Tech,highenergyfocus,28,11000,1100,22000,,1000,275,,50,15,15,20,12,2200,OMNI,,180,0.35,0.6,,,300,400,225,200,8,25,8,400000,5,20,720,0.25,45,45,COMBAT,rare_bp,,0.4,2,2,1351
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khanjali,drg_wyvern,,High Tech,flarelauncher_active,,300,25,500,,125,0,,200,300,250,150,240,40,FRONT,,150,0,1,,,2,2,,,,,,,,,,,,,,,,0,,,1352
Kukri,drg_kukri,,High Tech,,,500,25,500,,50,0,,130,150,125,30,90,50,OMNI,,180,0,1,,,3,3,,,,,,,,,,,,,,,,0,,,1353
