name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alecto Atropos Launcher,drg_alecto,2,0.75,1200,1200,,1000,,40,20,10,12,,,HIGH_EXPLOSIVE,0,,0,6.67,2,0.33,10,10,0,0,,400,150,3.5,300,GUIDED_POOR,"strike13, missile2, missile_bp",,,,Torpedo,Fast,Good,,,,,,,TRUE,1336
Nyx Atropos Salvo,drg_nyx,2,,5000,1200,,1000,,40,20,25,32,,,HIGH_EXPLOSIVE,0,,,6.25,4,0.25,10,10,0,0,,400,150,3.5,300,GUIDED_POOR,"strike18, missile2, rare_bp, tritachyon, remnant",,,,Torpedo,Fast,Good,,,,,,,TRUE,1335
Ahab Harpoon Barrage,drg_ahab,1,,1200,2500,,750,,15,10,27,54,,,HIGH_EXPLOSIVE,0,,0,15,9,0.33,0,0,0,,,300,100,12.5,150,DO_NOT_AIM,"missile18, strike9, missile_bp",,,,Finisher,Medium,Medium,,,,,,,TRUE,1334
Tawa Standoff Torpedo Rack,drg_tawa_rack,2,0.5,800,1400,,1000,,15,40,5,2,,,ENERGY,0,,0,1,1,,0,0,0,,,300,100,4.5,225,"GUIDED_POOR, CONSERVE_4","missile3, strike9, missile_bp",,,,Torpedo,Fast,Good,,,Fires an inaccurate burst of three projectiles upon nearing its target.,,,,TRUE,1333
Tawa Standoff Torpedo Launcher,drg_tawa_pod,2,0.5,1300,1400,,1000,,15,20,12,10,,,ENERGY,0,,0,11.5,2,0.5,0,0,0,,,300,100,4.5,225,"GUIDED_POOR, CONSERVE_4","missile2, strike13, missile_bp",,,,Torpedo,Fast,Good,,,Fires an inaccurate burst of three projectiles upon nearing its target.,,,,TRUE,1332
Tawa Standoff Torpedo Battery,drg_tawa_battery,2,0.5,6000,1400,,1000,,15,20,28,36,,,ENERGY,0,,0,11.68,3,0.66,10,10,0,,,300,100,4.5,225,"GUIDED_POOR, CONSERVE_4","missile3, strike19, rare_bp, tritachyon, remnant",,,,Torpedo,Fast,Good,,,Fires an inaccurate burst of three projectiles upon nearing its target.,,,,TRUE,1331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Energies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Lens Projector,drg_plp,3,,7000,800,,1000,,60,10,30,2,0.1667,1,HIGH_EXPLOSIVE,2500,,0.5,0.5,,,20,20,0,0,,350,,,,"GUIDED_POOR, CONSERVE_4","he20, strike19, rare_bp, tritachyon, remnant",,,,Strike,,Poor,,,"Projectiles weakly home in on targets and collapse violently on impact with hull or armor, dealing %s x %s damage in a line as the plasma punches through internal compartments.",3 | 500 High Explosive,,,,1329
Toroidal Plasma Railgun,drg_tpr_m,2,,1300,850,,400,125,40,10,12,,,,ENERGY,600,,1.25,1.5,,,3,7,3,6,,1150,,,,,"energy10, base_bp, hightech_bp",,,,General,,,,,Collapsing plasma toroids deal an extra %s damage when hitting hull or armor.,100 Energy,,,,1328
Twin Toroidal Plasma Railgun,drg_tpr_l,2,,6500,900,,400,125,40,7.5,26,,,,ENERGY,600,,1.25,1.2,,,3,7,3,6,,1150,,,,,"energy16, hightech_bp",,,,General,,,,,Collapsing plasma toroids deal an extra %s damage when hitting hull or armor.,100 Energy,,,,1327
Light Arc Emitter,drg_arc_s,1,,800,400,,100,50,50,30,6,,,,ENERGY,200,,1.25,1.25,,,0,0,0,0,,1000,,,,"PD, DO_NOT_AIM","pd8, SR, hightech_bp",,,,Point Defense,,,,Randomized Targeting,Fires an arc at a random target within a %s cone.,120 degree,,,,1324
Arc Emitter,drg_arc_m,2,,1000,500,,100,50,50,30,11,,,,ENERGY,200,,1.25,0.5,,,0,0,0,0,,1000,,,,"PD, DO_NOT_AIM","pd15, SR, hightech_bp",,,,Point Defense,,,,Randomized Targeting,Fires an arc at a random target within a %s cone. Arcs have a %s chance to chain to a secondary target.,120 degree | 33%,,,,1325
Heavy Arc Emitter,drg_arc_l,3,,5000,600,,100,50,50,30,28,,,,ENERGY,300,,0.6,0,,,0,0,0,0,,1000,,,,"PD, DO_NOT_AIM","pd23, SR, rare_bp, remnant, tritachyon",,,,Point Defense,,,,Randomized Targeting,"Fires an arc at a random target within a %s cone. Arcs have a %s chance to produce up to %s secondary arcs. This chance increases with continuous firing, up to %s after %s.",120 degree | 10% | 3 | 50% | 6 seconds,,,,1323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighter weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
