id,type,text1,text2,text3,notes
# Ships,,,,,
drg_persephone,SHIP,"The Persephone is a fairly generic high-tech destroyer with an emphasis on heavy weaponry. Unlike many other ships of its era, the Persephone's bridge is buried deep inside its hull, eschewing windows in favor of improved survivability for command crews.",,,
drg_incursion,SHIP,"An expensive battlecruiser designed for use with faster cruiser fleets, the Incursion's oversized engines allow it to keep pace with cruisers, and its quintet of powerful EMP generators allow it to cripple its prey with ease.",,,
drg_iris,SHIP,"The Iris is a modern destroyer designed to provide defensive support to heavy capital fleets. Extremely specialized for this role, it is nearly impossible to kill unless separated from the larger ships it is responsible for guarding. Irises were designed to mount a heavy point-defense suite and fire-support missiles, though bold captains have been known to experiment with more radical loadouts. ",,,
drg_gila,SHIP,"The answer to the lack of a high-tech line cruiser, the Gila is designed to function as the core of any advanced fleet doctrine. Unlike other high-tech vessels, it was intended to serve alongside slow, heavy vessels like the Paragon, and prefers to simply absorb enemy firepower rather than dipping in and out of the battle lines. Gilas are fairly vulnerable without support, as their low maneuverability prevents them from bringing their enormous frontal guns to bear against small, fast-moving targets.",,,
drg_bombardier,SHIP,"The Bombardier-class cruiser was designed to provide massive missile strike power, able to flush all of its racks in seconds. However, its lack of larger missile mounts means that it expends its fearsome ordnance very quickly, and is left quite vulnerable in the face of high-grade point-defense grids.",,,
,,,,,
drg_aphelion,SHIP,"The Aphelion is a lighter, cheaper version of the popular Apogee. While it lacks the heavy weapons mounts of its larger cousin, it is extremely cheap to operate, and carries a robust active flare system that can intercept entire salvoes of missiles.",,,
drg_moray,SHIP,"A well-rounded high-tech destroyer, the Moray makes an effective line ship for light fleets, or a useful skirmisher for heavier fleets. In groups, it excels, as its phase skimmer allows it to easily disengage to vent flux while allies continue to pressure the target.

Development of the Moray-class destroyers began after the Second AI war as an attempt to bring hull designs from the revolutionary Tempest-class frigates up to the destroyer scale. Unfortunately, many aspects of the Tempest's design failed to scale up properly, and the internal systems had to be completely redesigned, putting the Moray into an entirely different role than intended. Despite the failure to achieve the initial design goals, the result was considered quite acceptable by military commanders.",,,
drg_tigershark,SHIP,"A cousin of the popular Aurora-class cruiser, the Tigershark eschews its sibling's plethora of small mounts in favor of larger and more flexible ordnance. Aside from a different form factor and mount layout, it is nearly identical to the Aurora, even using most of the same internal parts.",,,
drg_spire,SHIP,"A purpose-built front-line carrier, the Spire is designed to wade into the thick of battle, relying on endless fighter swarms to guard its flanks. To prevent the massive fighter pilot losses that would normally occur with these tactics, Spires make use of a specialized fighter automation nanofactory, allowing crewed fighters to be manufactured with drone systems instead.",,,
drg_peregrine,SHIP,"Despite its relatively few weapon mounts and complete lack of missiles, the Peregrine is a surprisingly powerful combatant thanks to a complex array of supercapacitors that overcharge energy-based weapons.",,,
drg_equality,SHIP,"Designed to serve as a fleet anchor when a Paragon is either unavailable or impractical, the Equality has an extremely powerful reactor core for its size. This excess of power allows it to mount several exotic subsystems designed to enhance combat performance, redirecting power to where it is most needed depending on the situation.

Often chosen as a flagship by high-ranking officers thanks to its spacious bridge (or perhaps its luxurious captain's quarters) rather than its combat capabilities, the Equality is nonetheless a highly capable warship. ",,,
drg_scute,SHIP,"Easily identified by its egg-shaped hull, the Scute is heavily armored and well-shielded.",,,
drg_gloom,SHIP,"The Gloom is a phase destroyer intended to fill a fleet support role rather than a direct combat role. It is primarily included in fleet doctrines for its Drive Field Compressor, which substantially improves fleet acceleration and maneuvering.",,,
drg_shoebill,SHIP,"Slow, heavy, and extremely durable, the Shoebill is vastly different from other high-tech ships. Popular theory holds that its design contract was written by those Domain admirals still sympathetic to the low-tech cause, and that it somehow snuck by the naval acquisitions board.",,,
,,,,,
# Fighters,,,,,
drg_khanjali,SHIP,A heavy fighter with a high-damage plasma weapon capable of shredding both enemy fighter squadrons and light warships.,,,
